created_utc,author,score,ETL,Data Warehouse,Data Transformation,BI,Exploratory Data Analysis,Company Size,Company Industry,Company HQ,ETL_clean,ETL_weight,Data Warehouse_clean,Data Warehouse_weight,Data Transformation_clean,Data Transformation_weight,BI_clean,BI_weight,Exploratory Data Analysis_clean,Exploratory Data Analysis_weight
1659294345.0,AutoModerator,1,,,,,,,,,[''],[{'': 1}],[''],[{'': 1}],[''],[{'': 1}],[''],[{'': 1}],[''],[{'': 1}]
1659306558.0,syphilicious,33,SSIS & BIML,SQL server on prem,SQL stored procedures,Power BI,Excel,150+,Energy/ natural resources,"Texas, USA","['Biml', 'Ssis']","[{'Biml': 33}, {'Ssis': 33}]",['Sql server prem'],[{'Sql server prem': 33}],['Sql stored procedures'],[{'Sql stored procedures': 33}],['Power bi'],[{'Power bi': 33}],['Excel'],[{'Excel': 33}]
1659299153.0,rudboi12,37,Azure Data factory,Azure data lake gen 2,Spark with Databricks (pyspark),PowerBI,Databricks notebooks,Don’t know probably at 100k+,Consumer Goods,HQ in US but  working for UK region only.,['Azure data factory'],[{'Azure data factory': 37}],['Azure data gen 2'],[{'Azure data gen 2': 37}],[],[],['Powerbi'],[{'Powerbi': 37}],['Databricks notebooks'],[{'Databricks notebooks': 37}]
1659300309.0,hesperoyucca,11,,,,,,,,,[''],[{'': 11}],[''],[{'': 11}],[''],[{'': 11}],[''],[{'': 11}],[''],[{'': 11}]
1659293878.0,Pleasant_Type_4547,27,"Fivetran, Stitch",Snowflake,dbt,"Looker, Metabase",Google Colab,50,E-commerce,"London, UK","['Fivetran', 'Stitch']","[{'Fivetran': 27}, {'Stitch': 27}]",['Snowflake'],[{'Snowflake': 27}],['Dbt'],[{'Dbt': 27}],"['Looker', 'Metabase']","[{'Looker': 27}, {'Metabase': 27}]",['Google colab'],[{'Google colab': 27}]
1659307709.0,reborndu,9,"Azure Data Factory (Dynamic pipelines,so I just really run parametrized executions)",Azure Data Lake/Snowflake,"Databricks ((Mostly SQL & Scala, few Pyspark)",PowerBI,Databricks/Snowflake,~50k,Paints & chemicals,"HQ in the US but working from Mexico (So pay is 10 times less than a similar job from the US, so...)",[],[],['Snowflake'],[{'Snowflake': 9}],[],[],['Powerbi'],[{'Powerbi': 9}],"['Databricks', 'Snowflake']","[{'Databricks': 9}, {'Snowflake': 9}]"
1659306773.0,booyahtech,7,Azure Data Factory,Azure Synapse Dedicated SQL Pool / Snowflake,Databricks (Python / Spark if bigger datasets),Power BI,Databricks,200K +,FMCG,,['Azure data factory'],[{'Azure data factory': 7}],['Snowflake'],[{'Snowflake': 7}],[],[],['Power bi'],[{'Power bi': 7}],['Databricks'],[{'Databricks': 7}]
1659314548.0,lljdu77_-bvd,7,Python and Cron,Postgres AWS RDS,Python and SQL,Dashboards written in Python,SQL and Python,,Data,Brazil,"['Python', 'Cron']","[{'Python': 7}, {'Cron': 7}]",['Postgres aws rds'],[{'Postgres aws rds': 7}],"['Python', 'Sql']","[{'Python': 7}, {'Sql': 7}]",['Dashboards python'],[{'Dashboards python': 7}],"['Python', 'Sql']","[{'Python': 7}, {'Sql': 7}]"
1659329149.0,mhoss2008,7,,,/Snowflake,,,,,,[''],[{'': 7}],[''],[{'': 7}],"['', 'Snowflake']","[{'': 7}, {'Snowflake': 7}]",[''],[{'': 7}],[''],[{'': 7}]
1659303104.0,lahma_mama,5,Stitch/Meltano,Big Query,dbt or big query,Tableau,Tableau,30-50 (start-up),E-commerce,USA,"['Stitch', 'Meltano']","[{'Stitch': 5}, {'Meltano': 5}]",['Big query'],[{'Big query': 5}],['Dbt'],[{'Dbt': 5}],['Tableau'],[{'Tableau': 5}],['Tableau'],[{'Tableau': 5}]
1659334412.0,askvinni,5,Dagster,Snowflake,dbt,"Metabase (not in place, no BI yet)",Colab/Notebooks,~50,BioTech,,['Dagster'],[{'Dagster': 5}],['Snowflake'],[{'Snowflake': 5}],['Dbt'],[{'Dbt': 5}],[],[],['Colab'],[{'Colab': 5}]
1659298286.0,Spartyon,13,airflow,bigquery,python/airflow,jupyter,metabase,8,analytics consulting,"detroit, mi USA",['Airflow'],[{'Airflow': 13}],[],[],"['Python', 'Airflow']","[{'Python': 13}, {'Airflow': 13}]",['Jupyter'],[{'Jupyter': 13}],['Metabase'],[{'Metabase': 13}]
1659302199.0,fruity231,5,,,,,0,,,,[''],[{'': 5}],[''],[{'': 5}],[''],[{'': 5}],[''],[{'': 5}],['0'],[{'0': 5}]
1659548051.0,Firefox1950,4,Azure Data Factory,Azure Data Lake,Databricks (pyspark),Power BI,Databricks,3000,Public Sector,"Ontario, Canada",['Azure data factory'],[{'Azure data factory': 4}],[],[],[],[],['Power bi'],[{'Power bi': 4}],['Databricks'],[{'Databricks': 4}]
1659298982.0,CingKan,7,Airbyte,Snowflake,Dbt,looker,Looker/ python,13,Insurance,"Reading , UK",['Airbyte'],[{'Airbyte': 7}],['Snowflake'],[{'Snowflake': 7}],['Dbt'],[{'Dbt': 7}],['Looker'],[{'Looker': 7}],"['Python', 'Looker']","[{'Python': 7}, {'Looker': 7}]"
1659311492.0,jmhcodes,3,Airflow,Redshift + HDFS,Spark + Kafka/Flink + Segment (phasing out),Looker (not a big fan),"Personally Jupiter, company wide excel + looker + whatever they choose",~140,Food eCommerce,US,['Airflow'],[{'Airflow': 3}],"['Hdfs', 'Redshift']","[{'Hdfs': 3}, {'Redshift': 3}]","['', 'Spark']","[{'': 3}, {'Spark': 3}]",[],[],"['Looker', 'Excel']","[{'Looker': 3}, {'Excel': 3}]"
