tech,ETL,Data Warehouse,Data Transformation,BI,Exploratory Data Analysis,one,total
0,0.0,0.0,0.0,0.0,5.0,1,6.0
000,0.0,0.0,0.0,4.0,0.0,1,5.0
0000,1.0,0.0,0.0,0.0,0.0,1,2.0
0 research group,8.0,0.0,0.0,0.0,0.0,1,9.0
2,1.0,0.0,0.0,0.0,0.0,1,2.0
3,1.0,0.0,0.0,0.0,0.0,1,2.0
4hours,2.0,0.0,0.0,0.0,0.0,1,3.0
500,2.0,0.0,0.0,0.0,0.0,1,3.0
5 recently started tableau years ago,0.0,0.0,0.0,1.0,0.0,1,2.0
8k,0.0,1.0,0.0,0.0,0.0,1,2.0
Airbyte,8.0,0.0,0.0,0.0,0.0,1,9.0
Airflow,35.0,0.0,13.0,0.0,0.0,1,49.0
Airflow deployed gke mostly running k8s pod operators,1.0,0.0,0.0,0.0,0.0,1,2.0
Also microstrategy moving powerbi,0.0,0.0,0.0,6.0,0.0,1,7.0
Anything really,0.0,0.0,0.0,0.0,1.0,1,2.0
Apache airflow,0.0,0.0,1.0,0.0,0.0,1,2.0
Aws dms,2.0,0.0,0.0,0.0,0.0,1,3.0
Aws glue,3.0,0.0,0.0,0.0,0.0,1,4.0
Aws kinesis firstparty data,2.0,0.0,0.0,0.0,0.0,1,3.0
Aws lambda,2.0,0.0,0.0,0.0,0.0,1,3.0
Azure data factory,50.0,0.0,0.0,0.0,0.0,1,51.0
Azure data gen 2,0.0,37.0,0.0,0.0,0.0,1,38.0
Bi,0.0,0.0,0.0,10.0,0.0,1,11.0
Bi bi,0.0,0.0,0.0,1.0,0.0,1,2.0
Big query,0.0,5.0,0.0,0.0,0.0,1,6.0
Bigquery jobs starting shift portion extract,1.0,0.0,0.0,0.0,0.0,1,2.0
Bigquery larger datasets stored parquet storage,0.0,1.0,0.0,0.0,0.0,1,2.0
Bigquery scheduler,0.0,0.0,2.0,0.0,0.0,1,3.0
Bigquery sql console,0.0,0.0,0.0,0.0,2.0,1,3.0
Biml,33.0,0.0,0.0,0.0,0.0,1,34.0
Bi superset,0.0,0.0,0.0,1.0,0.0,1,2.0
Bi  tableau,0.0,0.0,0.0,1.0,0.0,1,2.0
Colab,0.0,0.0,0.0,0.0,5.0,1,6.0
Considering moving snowflake dwh approaching terabyte,0.0,2.0,0.0,0.0,0.0,1,3.0
Control,1.0,0.0,0.0,0.0,0.0,1,2.0
Cost effective sold aake crating models normal users,0.0,0.0,0.0,1.0,0.0,1,2.0
Cron,7.0,0.0,0.0,0.0,0.0,1,8.0
Dagster,11.0,0.0,6.0,0.0,0.0,1,18.0
